cognee-mcp  | Processing request of type CallToolRequest
cognee-mcp  | 2025-09-07T11:41:37.924912 [info     ] No close match found for 'mark' in category 'individuals' [OntologyAdapter]
cognee-mcp  |
cognee-mcp  | 2025-09-07T11:41:37.925206 [info     ] No close match found for 'emma' in category 'individuals' [OntologyAdapter]
cognee-mcp  |
cognee-mcp  | 2025-09-07T11:41:37.925534 [info     ] No close match found for 'chloe' in category 'individuals' [OntologyAdapter]
cognee-mcp  |
cognee-mcp  | 2025-09-07T11:41:37.925978 [info     ] No close match found for 'david' in category 'individuals' [OntologyAdapter]
cognee-mcp  |
cognee-mcp  | 2025-09-07T11:41:37.926343 [info     ] No close match found for 'linda' in category 'individuals' [OntologyAdapter]
cognee-mcp  |
cognee-mcp  | 2025-09-07T11:41:42.763207 [info     ] Retrieved 10 nodes and 15 edges in 0.04 seconds [Neo4jAdapter]
cognee-mcp  |
cognee-mcp  | 2025-09-07T11:41:43.245533 [info     ] Coroutine task started: `summarize_text` [run_tasks_base]
cognee-mcp  |
cognee-mcp  | 2025-09-07T11:41:43.506993 [info     ] Model not found in LiteLLM's model_cost. [cognee.shared.logging_utils]
cognee-mcp  |
cognee-mcp  | 2025-09-07T11:42:02.654831 [info     ] Coroutine task started: `add_data_points` [run_tasks_base]
cognee-mcp  |
cognee-mcp  | 2025-09-07T11:42:09.257847 [info     ] Retrieved 11 nodes and 22 edges in 0.01 seconds [Neo4jAdapter]
cognee-mcp  |
cognee-mcp  | 2025-09-07T11:42:10.293937 [info     ] Coroutine task completed: `add_data_points` [run_tasks_base]
cognee-mcp  |
cognee-mcp  | 2025-09-07T11:42:10.538306 [info     ] Coroutine task completed: `summarize_text` [run_tasks_base]
cognee-mcp  |
cognee-mcp  | 2025-09-07T11:42:10.781045 [info     ] Coroutine task completed: `extract_graph_from_data` [run_tasks_base]
cognee-mcp  |
cognee-mcp  | 2025-09-07T11:42:11.021429 [info     ] Async Generator task completed: `extract_chunks_from_documents` [run_tasks_base]
cognee-mcp  |
cognee-mcp  | 2025-09-07T11:42:11.263619 [info     ] Coroutine task completed: `check_permissions_on_dataset` [run_tasks_base]
cognee-mcp  |
cognee-mcp  | 2025-09-07T11:42:11.510047 [info     ] Coroutine task completed: `classify_documents` [run_tasks_base]
cognee-mcp  |
cognee-mcp  | 2025-09-07T11:42:11.753753 [info     ] Pipeline run completed: `e993d49d-8eb0-5902-8185-830c7cc80952` [run_tasks_with_telemetry()]
cognee-mcp  |
cognee-mcp  | 2025-09-07T11:42:12.005422 [info     ] Cognify process finished.      [cognee.shared.logging_utils]
